Csource;Cultmode;Mu;q_s;q_Ac;q_Lac;q_Pyr;q_O2;q_CO2
Glucose;Batch;2.26;28.24;7.57;0.97;NaN;43.67;41.89
Glucose;Batch;2.22;24.14;7.13;1.07;NaN;42.54;43.95
Xylose;Batch;1.25;NaN;0;0;NaN;NaN;NaN
Glycerol;Batch;1.95;49.06;0;0;0;NaN;NaN
Galactose;Batch;0.72;NaN;NaN;NaN;NaN;NaN;NaN
Maltose;Batch;0.76;NaN;NaN;NaN;NaN;NaN;NaN
Sucrose;Batch;1.91;NaN;NaN;NaN;NaN;NaN;NaN
Cellobiose;Batch;1.89;NaN;NaN;NaN;NaN;NaN;NaN
Glycogen;Batch;1.42;NaN;NaN;NaN;NaN;NaN;NaN
Mannitol;Batch;1.56;NaN;NaN;NaN;NaN;NaN;NaN
Glucose;Chemostat;0.1;3.1;0;0;NaN;13.31;12.26
Glucose;Chemostat;0.1;3.45;0;0.01;NaN;15.32;15.85
Glucose;Chemostat;0.1;3.32;0;0;NaN;12.97;12.6
Glucose;Chemostat;0.17;4.56;0;0;NaN;15.5;15.93
Glucose;Chemostat;0.2;4.88;0;0.02;NaN;15.75;15.19
Glucose;Chemostat;0.79;14.91;0;0.05;NaN;33.96;35.66
Glucose;Chemostat;0.8;15.31;0;0.09;NaN;34.95;35.21
Glucose;Chemostat;1.2;20.32;0;0.12;NaN;42.44;42.8
Glucose;Chemostat;1.21;20.75;0;0.08;NaN;44.83;44.09
Glucose;Chemostat;1.59;22.59;0;0.13;NaN;44.34;42.49
Glucose;Chemostat;1.6;22.8;0;0;NaN;47.45;46.81
Glucose;Chemostat;1.69;21.35;0;0.18;NaN;43.54;43.47
Glucose;Chemostat;1.72;22.89;0;0.07;NaN;47.53;47.43
Glucose;Chemostat;1.76;20.85;2.27;0.27;NaN;45.85;41.44
Glucose;Chemostat;1.78;22.07;2.4;0.28;NaN;45.99;40.94
Glucose;Chemostat;1.98;29.1;6.64;0.47;NaN;47.04;48.05
Glucose;Chemostat;1.98;27.58;6.11;0.2;NaN;42.7;43.08
