Reactions	kapp
R00200	1506.28242718603
R00267	4905.2655811468
R00342_EXP_1	120.226279326546
R00342_EXP_2	120.226279326546
R00344	1514.04086014607
R00351	156.263315313907
R00405_EXP_1	14.5483167142936
R00405_EXP_2	14.5483167142936
R00658	461.461977516892
R00756	1116.31683923623
R00771_EXP_1	196.394671475311
R00771_EXP_2	196.394671475311
R01015	544.510897365598
R01056	98.8233179904288
R01061	107.161388443733
R01067	33.7194064179393
R01068	90.1407925207438
R01082	258.16446939409
R01512	430.196687556657
R01518_EXP_1	1672.00990017041
R01518_EXP_2	1672.00990017041
R01528_EXP_1	241.492869008752
R01528_EXP_2	241.492869008752
R01529	354.38432418036
R01641	81.8899870149955
R02164	118.694310076595
R08575	23.7147402984866
